"Area.Code","Area.Name","variable","value"
"00AA","City of London","Persons.1801",129000
"00AB","Barking and Dagenham","Persons.1801",3000
"00AC","Barnet","Persons.1801",8000
"00AD","Bexley","Persons.1801",5000
"00AE","Brent","Persons.1801",2000
"00AF","Bromley","Persons.1801",8000
"00AG","Camden","Persons.1801",100000
"00AH","Croydon","Persons.1801",8000
"00AJ","Ealing","Persons.1801",7000
"00AK","Enfield","Persons.1801",11000
"00AL","Greenwich","Persons.1801",35000
"00AM","Hackney","Persons.1801",50000
"00AN","Hammersmith and Fulham","Persons.1801",10000
"00AP","Haringey","Persons.1801",6000
"00AQ","Harrow","Persons.1801",4000
"00AR","Havering","Persons.1801",6000
"00AS","Hillingdon","Persons.1801",9000
"00AT","Hounslow","Persons.1801",14000
"00AU","Islington","Persons.1801",65000
"00AW","Kensington and Chelsea","Persons.1801",18000
"00AX","Kingston upon Thames","Persons.1801",5000
"00AY","Lambeth","Persons.1801",33000
"00AZ","Lewisham","Persons.1801",16000
"00BA","Merton","Persons.1801",5000
"00BB","Newham","Persons.1801",8000
"00BC","Redbridge","Persons.1801",4000
"00BD","Richmond upon Thames","Persons.1801",15000
"00BE","Southwark","Persons.1801",116000
"00BF","Sutton","Persons.1801",5000
"00BG","Tower Hamlets","Persons.1801",144000
"00BH","Waltham Forest","Persons.1801",8000
"00BJ","Wandsworth","Persons.1801",13000
"00BK","Westminster","Persons.1801",231000
"UKI1","Inner London","Persons.1801",939000
"UKI2","Outer London","Persons.1801",162000
"H","Greater London","Persons.1801",1097000
"00AA","City of London","Persons.1811",121000
"00AB","Barking and Dagenham","Persons.1811",4000
"00AC","Barnet","Persons.1811",9000
"00AD","Bexley","Persons.1811",6000
"00AE","Brent","Persons.1811",2000
"00AF","Bromley","Persons.1811",9000
"00AG","Camden","Persons.1811",128000
"00AH","Croydon","Persons.1811",10000
"00AJ","Ealing","Persons.1811",8000
"00AK","Enfield","Persons.1811",13000
"00AL","Greenwich","Persons.1811",46000
"00AM","Hackney","Persons.1811",64000
"00AN","Hammersmith and Fulham","Persons.1811",13000
"00AP","Haringey","Persons.1811",7000
"00AQ","Harrow","Persons.1811",5000
"00AR","Havering","Persons.1811",7000
"00AS","Hillingdon","Persons.1811",11000
"00AT","Hounslow","Persons.1811",16000
"00AU","Islington","Persons.1811",83000
"00AW","Kensington and Chelsea","Persons.1811",25000
"00AX","Kingston upon Thames","Persons.1811",5000
"00AY","Lambeth","Persons.1811",49000
"00AZ","Lewisham","Persons.1811",20000
"00BA","Merton","Persons.1811",6000
"00BB","Newham","Persons.1811",10000
"00BC","Redbridge","Persons.1811",5000
"00BD","Richmond upon Thames","Persons.1811",17000
"00BE","Southwark","Persons.1811",139000
"00BF","Sutton","Persons.1811",5000
"00BG","Tower Hamlets","Persons.1811",180000
"00BH","Waltham Forest","Persons.1811",9000
"00BJ","Wandsworth","Persons.1811",16000
"00BK","Westminster","Persons.1811",254000
"UKI1","Inner London","Persons.1811",1109000
"UKI2","Outer London","Persons.1811",193000
"H","Greater London","Persons.1811",1303000
"00AA","City of London","Persons.1821",125000
"00AB","Barking and Dagenham","Persons.1821",5000
"00AC","Barnet","Persons.1821",11000
